,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
137,138,Kevin Love,MIN,20,81,24,57,25.3,11.1,3.9,8.5,45.9,0.0,0.2,10.5,3.3,4.1,78.9,3.4,5.7,9.1,1.0,1.5,0.4,0.6,2.5,25.2,29,0,-3.3
138,139,Jason Thompson,SAC,22,82,17,65,28.1,11.1,4.3,8.7,49.7,0.0,0.1,0.0,2.4,3.5,69.2,2.9,4.5,7.4,1.1,1.8,0.6,0.7,3.8,23.7,17,0,-3.5
139,140,Steve Blake,POR,29,69,46,23,31.7,11.0,4.0,9.4,42.8,2.0,4.8,42.7,0.9,1.1,84.0,0.4,2.1,2.5,5.0,1.6,1.0,0.1,1.8,23.2,4,0,5.7
140,141,Beno Udrih,SAC,26,73,14,59,31.1,11.0,4.4,9.5,46.1,0.5,1.5,31.0,1.7,2.1,82.0,0.6,2.4,3.0,4.7,2.2,1.1,0.2,2.6,23.3,1,0,-4.9
141,142,Mike Conley,MEM,21,82,24,58,30.6,10.9,3.9,8.9,44.2,1.1,2.6,40.6,2.0,2.4,81.7,0.3,3.1,3.4,4.3,1.7,1.1,0.1,1.8,23.3,2,0,-3.5
142,143,Nick Young,WAS,24,82,19,63,22.4,10.9,4.1,9.2,44.4,0.7,2.0,34.1,2.0,2.4,85.0,0.4,1.5,1.8,1.2,1.1,0.5,0.2,1.7,15.8,0,0,-1.7
143,144,Tyrus Thomas,CHI,22,79,39,40,27.5,10.8,3.9,8.6,45.1,0.0,0.1,33.3,3.0,3.8,78.3,1.9,4.6,6.4,1.0,1.6,1.2,1.9,2.8,27.6,18,0,-2.4
144,145,Anthony Parker,TOR,34,80,31,49,33.0,10.7,4.0,9.4,42.6,1.2,3.0,39.0,1.5,1.8,83.4,0.6,3.4,4.0,3.4,1.4,1.3,0.2,1.8,23.4,0,0,-1.1
145,146,Udonis Haslem,MIA,29,75,40,35,34.1,10.6,4.4,8.6,51.8,0.0,0.0,0.0,1.7,2.3,75.3,2.3,6.0,8.2,1.1,1.1,0.6,0.3,2.7,23.8,20,0,0.5
146,147,Rudy Fernandez,POR,24,78,52,26,25.6,10.4,3.4,8.1,42.5,2.0,5.1,39.9,1.5,1.8,83.9,0.6,2.1,2.7,2.0,1.1,0.9,0.2,1.4,18.7,0,0,3.0
147,148,Marcus Camby,LAC,35,62,16,46,31.1,10.3,4.1,8.0,51.2,0.0,0.1,25.0,2.1,2.9,72.5,2.6,8.5,11.1,2.0,1.5,0.8,2.1,2.1,34.1,25,0,-3.3
148,149,Matt Barnes,PHX,29,77,42,35,27.0,10.2,3.7,8.8,42.3,1.5,4.4,34.3,1.3,1.8,74.3,1.0,4.4,5.5,2.8,1.7,0.7,0.3,2.7,22.3,5,0,0.7
149,150,Quentin Richardson,NYK,29,72,29,43,26.3,10.2,3.6,9.3,39.3,1.7,4.6,36.5,1.2,1.6,76.1,1.0,3.4,4.4,1.6,1.0,0.7,0.1,1.8,19.2,1,0,-1.6
150,151,Anthony Morrow,GSW,23,67,23,44,22.6,10.1,3.8,8.0,47.8,1.3,2.7,46.7,1.2,1.4,87.0,1.2,1.8,3.0,1.2,0.8,0.5,0.2,1.9,16.8,2,0,-0.8
151,152,Craig Smith,MIN,25,74,22,52,19.7,10.1,3.9,6.9,56.2,0.0,0.0,0.0,2.3,3.4,67.7,1.3,2.5,3.8,1.1,1.4,0.4,0.3,2.5,16.9,1,0,-2.3
152,153,Andray Blatche,WAS,22,71,17,54,24.0,10.0,4.2,8.9,47.1,0.1,0.3,23.8,1.6,2.3,70.4,1.8,3.5,5.3,1.7,1.6,0.7,1.0,3.0,22.6,7,0,-2.8
153,154,Mario Chalmers,MIA,23,82,43,39,32.0,10.0,3.4,8.1,42.0,1.4,3.8,36.7,1.8,2.4,76.7,0.5,2.3,2.8,4.9,2.0,2.0,0.1,2.9,24.8,1,0,0.4
154,155,Derek Fisher,LAL,34,82,65,17,29.8,9.9,3.6,8.4,42.4,1.5,3.7,39.7,1.3,1.6,84.6,0.3,2.0,2.3,3.2,0.9,1.2,0.1,2.3,20.3,1,0,6.6
155,156,Linas Kleiza,DEN,24,82,54,28,22.2,9.9,3.5,7.9,44.7,1.1,3.3,32.6,1.8,2.5,72.5,1.1,2.9,4.0,0.8,1.0,0.4,0.2,1.9,16.5,0,0,0.2
156,157,Mike Miller,MIN,29,73,22,51,32.3,9.9,3.6,7.5,48.2,1.2,3.1,37.8,1.5,2.0,73.2,1.0,5.6,6.6,4.5,2.0,0.4,0.4,1.9,25.0,7,0,-3.4
157,158,Kirk Hinrich,CHI,28,51,28,23,26.2,9.9,3.6,8.2,43.7,1.4,3.3,40.8,1.3,1.7,79.1,0.3,2.1,2.4,3.9,1.7,1.3,0.4,2.5,21.8,0,0,4.0
158,159,Sebastian Telfair,MIN,24,75,23,52,27.9,9.8,3.6,9.3,38.3,1.0,2.8,34.6,1.7,2.1,81.9,0.4,1.3,1.7,4.6,1.9,1.0,0.2,2.5,20.2,2,0,-1.1
159,160,Keyon Dooling,NJN,29,77,32,45,26.9,9.7,3.4,7.8,43.6,1.3,3.1,42.1,1.6,2.0,82.5,0.3,1.7,2.0,3.5,1.4,0.9,0.1,1.8,19.1,2,0,-3.0
160,161,Von Wafer,HOU,23,63,41,22,19.4,9.7,3.6,8.1,44.7,1.0,2.6,39.0,1.4,1.9,75.2,0.3,1.5,1.8,1.1,0.9,0.6,0.1,1.1,14.9,0,0,1.7
161,162,Michael Finley,SAS,36,81,54,27,28.8,9.7,3.7,8.5,43.7,1.6,3.9,41.1,0.6,0.8,82.3,0.3,3.0,3.3,1.4,0.8,0.5,0.2,1.0,17.0,0,0,2.1
162,163,Nenad Krstic,OKC,25,46,17,29,24.8,9.7,4.2,8.8,46.9,0.0,0.0,0.0,1.4,1.7,79.7,1.8,3.7,5.5,0.6,1.0,0.5,1.1,2.5,20.8,1,0,-2.9
163,164,Brendan Haywood,WAS,29,6,2,4,29.2,9.7,4.0,8.3,48.0,0.0,0.0,0.0,1.7,3.5,47.6,2.2,5.2,7.3,1.3,1.5,0.7,2.5,2.3,28.5,2,0,-4.7
164,165,Antonio McDyess,DET,34,62,28,34,30.1,9.6,4.3,8.5,51.0,0.0,0.0,0.0,1.0,1.4,69.8,3.0,6.8,9.8,1.3,0.8,0.7,0.8,3.1,27.0,16,0,-1.1
165,166,Luke Ridnour,MIL,28,72,29,43,28.2,9.6,3.5,8.6,40.3,0.8,2.2,35.0,1.8,2.1,86.9,0.5,2.6,3.0,5.1,1.8,1.3,0.2,2.8,23.5,6,0,-1.1
166,167,Rashad McCants,SAC,24,58,10,48,19.0,9.6,3.3,8.4,39.3,1.1,3.3,33.3,1.8,2.4,75.9,0.4,1.5,1.9,1.2,1.1,0.8,0.2,1.8,15.6,0,0,-3.1
167,168,C.J. Watson,GSW,25,77,25,52,24.5,9.5,3.3,7.3,45.7,0.6,1.6,40.0,2.2,2.5,87.0,0.5,2.0,2.5,2.7,1.2,1.2,0.1,1.8,19.2,1,0,-1.2
168,169,Mickael Pietrus,ORL,27,54,38,16,24.6,9.4,3.3,7.9,41.3,1.5,4.1,35.9,1.4,2.0,70.9,0.8,2.4,3.3,1.2,1.0,0.6,0.4,2.3,17.2,2,0,2.6
