Name,POS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,Team
Tyler Johnson,G,5.3,11.5,45.7,2.8,7.0,39.3,0.5,0.5,100.0,2.5,4.5,55.6,1.196,0.58,4,2.0,23.3,13.8,0.0,1.8,1.8,2.3,0.0,0.3,0.8,2.8,3.0,13.22,BKN
Garrett Temple,SF,4.3,12.3,34.7,2.3,9.0,25.0,1.3,1.5,83.3,2.0,3.3,61.5,0.98,0.44,4,4.0,34.3,12.0,0.0,2.8,2.8,2.0,0.8,0.3,1.5,3.0,1.3,4.7,BKN
Jarrett Allen,C,3.5,6.0,58.3,0.0,0.0,0.0,3.3,4.0,81.3,3.5,6.0,58.3,1.7080000000000002,0.58,4,4.0,33.0,10.3,4.3,10.5,14.8,2.3,0.5,1.8,2.8,1.8,0.8,17.21,BKN
Justin Anderson,F,1.7,4.0,41.7,1.7,3.7,45.5,1.3,1.3,100.0,0.0,0.3,0.0,1.5830000000000002,0.63,3,0.0,9.3,6.3,0.0,2.7,2.7,1.0,0.0,0.3,0.7,0.7,1.5,20.72,BKN
Chris Chiozza,G,2.0,6.0,33.3,1.3,4.0,31.3,0.5,1.0,50.0,0.8,2.0,37.5,0.958,0.44,4,0.0,16.3,5.8,0.3,1.3,1.5,4.3,1.3,0.0,0.8,1.8,5.7,13.08,BKN
Rodions Kurucs,SF,2.8,5.0,55.0,0.0,2.0,0.0,0.0,0.5,0.0,2.8,3.0,91.7,1.1,0.55,4,1.0,14.5,5.5,0.8,2.5,3.3,0.8,0.3,0.5,0.8,2.3,1.0,9.94,BKN
Dzanan Musa,F,0.7,3.7,18.2,0.0,2.0,0.0,3.3,4.7,71.4,0.7,1.7,40.0,1.273,0.18,3,0.0,13.0,4.7,0.3,0.7,1.0,1.3,0.0,0.3,1.0,0.7,1.3,4.15,BKN
Jeremiah Martin,PG,1.3,4.7,28.6,1.0,1.7,60.0,0.3,0.3,100.0,0.3,3.0,11.1,0.857,0.39,3,0.0,9.0,4.0,0.0,1.0,1.0,1.3,0.0,0.3,0.7,0.7,2.0,5.12,BKN
Donta Hall,F,1.0,1.7,60.0,0.0,0.0,0.0,0.3,1.3,25.0,1.0,1.7,60.0,1.4,0.6,3,0.0,6.7,2.3,1.0,0.7,1.7,0.0,0.0,0.7,0.3,0.3,0.0,14.24,BKN
Lance Thomas,F,0.3,1.7,20.0,0.0,0.7,0.0,0.7,1.3,50.0,0.3,1.0,33.3,0.8,0.2,3,0.0,5.7,1.3,0.3,0.7,1.0,0.0,0.0,0.3,0.0,0.7,0.0,1.49,BKN
Marcus Morris Sr.,SF,6.5,14.8,44.2,2.7,6.1,43.9,3.8,4.6,82.3,3.8,8.7,44.4,1.3219999999999998,0.53,43,43.0,32.3,19.6,1.1,4.3,5.4,1.4,0.8,0.4,1.7,3.0,0.8,16.55,NY
Julius Randle,PF,7.2,15.7,46.0,1.0,3.6,27.7,4.0,5.5,73.3,6.2,12.1,51.5,1.2409999999999999,0.49,64,64.0,32.5,19.5,2.4,7.4,9.7,3.1,0.8,0.3,3.0,2.8,1.0,17.55,NY
RJ Barrett,SG,5.2,13.0,40.2,1.1,3.5,32.0,2.8,4.5,61.4,4.1,9.5,43.2,1.105,0.44,56,55.0,30.4,14.3,0.9,4.1,5.0,2.6,1.0,0.3,2.2,2.2,1.2,10.76,NY
Bobby Portis,C,4.0,8.9,45.0,1.0,2.8,35.8,1.1,1.4,76.3,3.0,6.1,49.3,1.1340000000000001,0.51,66,5.0,21.1,10.1,1.2,3.9,5.1,1.5,0.5,0.3,1.1,1.7,1.3,14.65,NY
Elfrid Payton,PG,4.3,9.8,43.9,0.3,1.5,20.3,1.1,1.9,57.0,4.0,8.2,48.2,1.02,0.45,45,36.0,27.7,10.0,1.2,3.6,4.7,7.2,1.6,0.4,2.1,2.0,3.4,15.98,NY
Mitchell Robinson,C,4.1,5.6,74.2,0.0,0.0,0.0,1.4,2.4,56.8,4.1,5.6,74.2,1.73,0.74,61,7.0,23.1,9.7,3.0,4.0,7.0,0.6,0.9,2.0,0.6,3.2,1.0,23.51,NY
Reggie Bullock,SF,3.1,7.7,40.2,1.3,3.8,33.3,0.6,0.7,81.0,1.8,3.9,46.9,1.045,0.48,29,19.0,23.6,8.1,0.4,1.9,2.3,1.4,0.9,0.1,0.7,1.9,2.2,9.29,NY
Maurice Harkless,SF,2.5,5.5,45.5,0.6,2.1,28.0,1.3,2.0,62.5,1.9,3.4,56.1,1.242,0.51,12,10.0,23.8,6.8,0.7,2.7,3.3,1.7,0.8,0.3,0.6,2.3,2.9,10.13,NY
